ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-01-27,161.01156537,155.45973189674044,166.20182656635768,161.01156537,161.01156537,0.0,0.0,0.0,0.0,0.0,0.0,161.01156537
2026-01-28,161.28027505,156.45558268263468,166.4511718574943,161.28027505,161.28027505,0.0,0.0,0.0,0.0,0.0,0.0,161.28027505
2026-01-29,161.5489844782888,156.582585618117,166.4887902231467,161.5489844782888,161.5489844782888,0.0,0.0,0.0,0.0,0.0,0.0,161.5489844782888
2026-01-30,161.81769391191602,156.8839877344419,166.79948754638994,161.81769391191602,161.81769391191602,0.0,0.0,0.0,0.0,0.0,0.0,161.81769391191602
2026-01-31,162.0847516356546,157.03592604834503,166.90538511059833,162.0847516356546,162.0847516356546,0.0,0.0,0.0,0.0,0.0,0.0,162.0847516356546
2026-02-01,162.35180934202205,156.94494416318207,167.1924204247824,162.35180934202205,162.35180934202205,0.0,0.0,0.0,0.0,0.0,0.0,162.35180934202205
2026-02-02,162.61886703863465,157.69503994884576,167.66523555698555,162.61886703863465,162.61886703863465,0.0,0.0,0.0,0.0,0.0,0.0,162.61886703863465
2026-02-03,162.88592473577916,157.7001202683202,168.27920940053627,162.88592473577916,162.88592473577916,0.0,0.0,0.0,0.0,0.0,0.0,162.88592473577916
2026-02-04,163.15298243292366,158.16459297754093,168.41158039521278,163.15298243292366,163.15298243292366,0.0,0.0,0.0,0.0,0.0,0.0,163.15298243292366
2026-02-05,163.42004013006814,158.5109474207398,168.9312706486813,163.41986851636386,163.42023014849212,0.0,0.0,0.0,0.0,0.0,0.0,163.42004013006814
2026-02-06,163.68709782721265,158.28931652513623,168.65257293312962,163.68652067151,163.68767633338277,0.0,0.0,0.0,0.0,0.0,0.0,163.68709782721265
2026-02-07,163.95415552435716,158.77726809834832,169.383483910309,163.9530031031436,163.95525437702946,0.0,0.0,0.0,0.0,0.0,0.0,163.95415552435716
2026-02-08,164.22121322150164,159.10874521718216,169.25646458038563,164.2194115335393,164.22294902544158,0.0,0.0,0.0,0.0,0.0,0.0,164.22121322150164
2026-02-09,164.48827091864615,159.65885275332712,169.52767997330264,164.48566995095283,164.49072626791633,0.0,0.0,0.0,0.0,0.0,0.0,164.48827091864615
2026-02-10,164.75532861579066,159.6329401646317,169.88181215243395,164.75183642325814,164.75858266735338,0.0,0.0,0.0,0.0,0.0,0.0,164.75532861579066
2026-02-11,165.02238631293517,159.26154922121844,169.87502979784327,165.01790859672784,165.0265348264677,0.0,0.0,0.0,0.0,0.0,0.0,165.02238631293517
2026-02-12,165.28944401007968,160.17838471921596,170.4681613419948,165.28403658287903,165.29472023342925,0.0,0.0,0.0,0.0,0.0,0.0,165.28944401007968
2026-02-13,165.55650170722416,160.68687232044547,170.87500955577644,165.55035734893568,165.56299789040466,0.0,0.0,0.0,0.0,0.0,0.0,165.55650170722416
2026-02-14,165.82355940436867,160.97608204369547,171.08371360417252,165.81607966508685,165.83127468497472,0.0,0.0,0.0,0.0,0.0,0.0,165.82355940436867
2026-02-15,166.09061710151317,160.9806794905206,170.99293213791626,166.08183345626503,166.09966575562046,0.0,0.0,0.0,0.0,0.0,0.0,166.09061710151317
2026-02-16,166.35767479865765,160.74710501579276,171.14262958614114,166.34795546464682,166.36796942342005,0.0,0.0,0.0,0.0,0.0,0.0,166.35767479865765
2026-02-17,166.62473249580216,161.57458109794976,172.0391026089279,166.61367254210091,166.63622625975555,0.0,0.0,0.0,0.0,0.0,0.0,166.62473249580216
2026-02-18,166.89179019294667,161.89363123206795,172.20604345955869,166.87945680879966,166.90453504697524,0.0,0.0,0.0,0.0,0.0,0.0,166.89179019294667
2026-02-19,167.15884789009118,162.08424248123967,171.88222886500694,167.14508673916728,167.17275278304967,0.0,0.0,0.0,0.0,0.0,0.0,167.15884789009118
2026-02-20,167.42590558723566,162.5073695732866,172.44186821947412,167.4107661585153,167.44112670587978,0.0,0.0,0.0,0.0,0.0,0.0,167.42590558723566
2026-02-21,167.69296328438017,162.56514520768184,172.647934643801,167.67634993860327,167.7099034031302,0.0,0.0,0.0,0.0,0.0,0.0,167.69296328438017
2026-02-22,167.96002098152465,162.86354222638502,172.87620739777753,167.9414027825436,167.97866704735532,0.0,0.0,0.0,0.0,0.0,0.0,167.96002098152465
2026-02-23,168.2270786786692,162.7860185691877,173.25646126787095,168.20704647350394,168.24756760936248,0.0,0.0,0.0,0.0,0.0,0.0,168.2270786786692
2026-02-24,168.49413637581367,163.39189523473547,173.79759696667819,168.47222929888662,168.51648397597936,0.0,0.0,0.0,0.0,0.0,0.0,168.49413637581367
2026-02-25,168.76119407295818,163.52500523863714,174.26622187886085,168.73772034276286,168.78467662548013,0.0,0.0,0.0,0.0,0.0,0.0,168.76119407295818
2026-02-26,169.02825177010268,163.64232065578483,173.97304053940303,169.0033087843699,169.05337284920492,0.0,0.0,0.0,0.0,0.0,0.0,169.02825177010268
2026-02-27,169.29530946724717,164.3429729761592,174.60754657694187,169.26876487657998,169.32234938422195,0.0,0.0,0.0,0.0,0.0,0.0,169.29530946724717
2026-02-28,169.5623671643917,164.28996168326793,174.4819365658177,169.5345387150495,169.59112474320406,0.0,0.0,0.0,0.0,0.0,0.0,169.5623671643917
2026-03-01,169.82942486153618,164.7204556809484,175.1254315083685,169.8001876679969,169.86005727732785,0.0,0.0,0.0,0.0,0.0,0.0,169.82942486153618
2026-03-02,170.0964825586807,165.0779163253687,175.45863783122155,170.06558049925198,170.12929261386077,0.0,0.0,0.0,0.0,0.0,0.0,170.0964825586807
2026-03-03,170.36354025582517,165.3336478791315,175.2957847976663,170.33042206191558,170.39830460018425,0.0,0.0,0.0,0.0,0.0,0.0,170.36354025582517
2026-03-04,170.63059795296968,165.86176127759785,175.53330245852325,170.5953067434538,170.6672438831607,0.0,0.0,0.0,0.0,0.0,0.0,170.63059795296968
2026-03-05,170.89765565011416,165.8797683094907,175.72492733650904,170.8598444525141,170.9362391846927,0.0,0.0,0.0,0.0,0.0,0.0,170.89765565011416
2026-03-06,171.1647133472587,166.05156404575456,176.29649934332772,171.1248132679199,171.2047345604469,0.0,0.0,0.0,0.0,0.0,0.0,171.1647133472587
